mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__max_depth,param_regressor__max_features,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08421816825866699,0.0007141158334832427,0.025462627410888672,0.0003246921081784145,20,sqrt,8,16,84,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 16, 'regressor__n_estimators': 84}",-179776.86448052755,-86193.01094456125,-472790.1270103905,-1029417.8893516036,-663398.0638427011,-486315.19112595683,340753.6696103553,18
0.059930419921875,0.0008995197326783434,0.02101025581359863,0.0004183752650325261,,log2,8,5,51,"{'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 51}",-186622.95755058565,-96516.03116587557,-474049.41999824095,-1041282.1139542472,-679188.2199234753,-495531.74851848494,342541.3362303938,20
0.20131192207336426,0.04315406730728844,0.0443941593170166,0.0008828682233630524,5,log2,2,13,211,"{'regressor__max_depth': 5, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 13, 'regressor__n_estimators': 211}",-137007.11597975343,-47747.62148979903,-422169.7192616645,-931806.3165500008,-564879.9710356692,-420722.1488633774,316731.69009972614,9
0.31654796600341795,0.0032825302225279454,0.06761960983276367,0.00042478241160683825,5,log2,4,15,400,"{'regressor__max_depth': 5, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 15, 'regressor__n_estimators': 400}",-162882.57015224357,-82719.29383108769,-450570.36869135976,-1027027.0865931988,-647582.1055948513,-474156.2849725483,342465.5245603316,11
0.2323627471923828,0.0012096138544163803,0.05341038703918457,0.0004917913980447469,20,sqrt,8,17,286,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 17, 'regressor__n_estimators': 286}",-181781.81317736508,-91390.65959333918,-463566.2105605933,-1025977.0024053685,-672352.000179484,-487013.53718323,339135.8448904851,19
0.09132885932922363,0.0023266210897447334,0.02599811553955078,0.0003568262016001299,5,,5,14,90,"{'regressor__max_depth': 5, 'regressor__max_features': None, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 14, 'regressor__n_estimators': 90}",-184642.98632927513,-3568.227028491426,-306032.312090939,-1071404.3793514464,-500502.43347880215,-413230.06765579083,366708.6381927917,7
0.06765599250793457,0.0005232587802272218,0.023673009872436524,0.0029069275198846797,30,,1,8,58,"{'regressor__max_depth': 30, 'regressor__max_features': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 8, 'regressor__n_estimators': 58}",-90497.75399656495,-591.4022577797555,-229796.00118116016,-896793.2301542317,-303757.03887706524,-304287.08529336035,314499.50089947204,2
0.3608827590942383,0.009701349968554835,0.07281765937805176,0.000752813625001471,,,3,18,441,"{'regressor__max_depth': None, 'regressor__max_features': None, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 18, 'regressor__n_estimators': 441}",-116111.07488022385,-1853.029750521266,-216077.6410582894,-814026.1889964622,-467526.3381625854,-323118.8545696164,289608.46146144543,3
0.2462611198425293,0.003446917792319528,0.0527308464050293,0.0013772981134802657,10,,1,6,280,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 6, 'regressor__n_estimators': 280}",-91434.2112307886,-2988.188356978467,-218445.9108298979,-927238.0735240945,-276410.0471146941,-303303.28621129075,326280.95323421434,1
0.2997098922729492,0.0028040048613792398,0.06531906127929688,0.0007127021345832029,5,sqrt,7,10,377,"{'regressor__max_depth': 5, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 7, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 377}",-182314.32435688624,-87223.99513003451,-454048.9456782502,-1023699.7002347483,-664706.8500703769,-482398.7630940592,338603.13728064817,14
